NODO_SITENAME,NODO_PARENTID
CUS-CCORCCA-DI-SASXP-01,CU-0002-T01
CUS-ACOPIA-DI-SASXP-01,CU-0007-T01
CUS-ACOS-DI-SASXP-01,CU-0009-T01
CUS-MOSOCLLA-DI-SASXP-01,CU-0013-T01
CUS-POMACANC-DI-SASXP-01,CU-0015-T01
CUS-RONDOCAN-DI-SASXP-01,CU-0021-T01
CUS-SANGARAR-DI-SASXP-01,CU-0028-T01
CUS-CHINCHAY-DI-SASXP-01,CU-0039-T01
CUS-HUAROCON-DI-SASXP-01,CU-0042-T01
CUS-LIMATAMB-DI-SASXP-01,CU-0045-T01
CUS-MOLLEPAT-DI-SASXP-01,CU-0050-T01
CUS-COYA-DI-SASXP-01,CU-0058-T01
CUS-LARES-DI-SASXP-01,CU-0064-T01
CUS-CUYOGRAN-CX-SASXP-01,CU-0069-T01
CUS-SANSALVA-DI-SASXP-01,CU-0072-T01
CUS-TARAY-DI-SASXP-01,CU-0075-T01
CUS-QUEBRADA-DI-SASXP-01,CU-0080-T01
CUS-CHECCA-DI-SASXP-01,CU-0086-T01
CUS-ELDESCAN-DI-SASXP-01,CU-0088-T01
CUS-LANGUI-DI-SASXP-01,CU-0092-T01
CUS-LAYO-DI-SASXP-01,CU-0093-T01
CUS-QUEHUE-DI-SASXP-01,CU-0097-T01
CUS-TUNGASUC-DI-SASXP-01,CU-0103-T01
CUS-COMBAPAT-DI-SASXP-01,CU-0108-T01
CUS-HUATAPAM-CX-SASXP-01,CU-0111-T01
CUS-PITUMARC-DI-SASXP-01,CU-0112-T01
CUS-PULPERA-CN-SASXP-01,CU-0121-T01
CUS-CAPACMAR-DI-SASXP-01,CU-0123-T01
CUS-CHAMACA-DI-SASXP-01,CU-0125-T01
CUS-COLQUEMA-DI-SASXP-01,CU-0132-T01
CUS-LIVITACA-DI-SASXP-01,CU-0140-T01
CUS-LLUSCO-DI-SASXP-01,CU-0144-T01
CUS-QUINOTA-DI-SASXP-01,CU-0150-T01
CUS-VELILLE-DI-SASXP-01,CU-0152-T01
CUS-CONDOROM-DI-SASXP-01,CU-0157-T01
CUS-OCORURO-DI-SASXP-01,CU-0158-T01
CUS-HECTORTE-DI-SASXP-01,CU-0159-T01
CUS-PICHIGUA-DI-SASXP-01,CU-0160-T01
CUS-VIRGINIY-DI-SASXP-01,CU-0163-T01
CUS-ACCOCUNC-DI-SASXP-01,CU-0165-T01
CUS-ECHARATE-DI-SASXP-01,CU-0172-T01
CUS-KITENI-DI-SASXP-01,CU-0177-T01
CUS-PALMAREA-CN-SASXP-01,CU-0178-T01
CUS-HUYRO-DI-SASXP-01,CU-0181-T01
CUS-MARANURA-DI-SASXP-01,CU-0183-T01
CUS-KQUELCCA-DI-SASXP-01,CU-0188-T01
CUS-QUELLOUN-DI-SASXP-01,CU-0190-T01
CUS-KIMBIRI-DI-SASXP-01,CU-0197-T01
CUS-LOBOTAHU-CX-SASXP-01,CU-0206-T01
CUS-SANTATER-DI-SASXP-01,CU-0213-T01
CUS-LUCMA-DI-SASXP-01,CU-0214-T01
CUS-VILLAVIR-CN-SASXP-01,CU-0215-T01
CUS-PICHARI-DI-SASXP-01,CU-0217-T01
CUS-JATUNRUM-CN-SASXP-01,CU-0226-T01
CUS-ACCHA-DI-SASXP-01,CU-0232-T01
CUS-CCAPI-DI-SASXP-01,CU-0236-T01
CUS-COLCHA-DI-SASXP-01,CU-0238-T01
CUS-HUANOQUI-DI-SASXP-01,CU-0240-T01
CUS-OMACHA-DI-SASXP-01,CU-0244-T01
CUS-PACCARIT-DI-SASXP-01,CU-0250-T01
CUS-PILLPINT-DI-SASXP-01,CU-0251-T01
CUS-YAURISQU-DI-SASXP-01,CU-0253-T01
CUS-CHALLABA-DI-SASXP-01,CU-0258-T01
CUS-COLQUEPA-DI-SASXP-01,CU-0264-T01
CUS-HUANCARA-DI-SASXP-01,CU-0275-T01
CUS-PILLCOPA-DI-SASXP-01,CU-0285-T01
CUS-QUINCEMI-DI-SASXP-01,CU-0291-T01
CUS-CCARHUAY-DI-SASXP-01,CU-0292-T01
CUS-CCATCA-DI-SASXP-01,CU-0293-T01
CUS-HUARO-DI-SASXP-01,CU-0305-T01
CUS-LUCRE-DI-SASXP-01,CU-0306-T01
CUS-MARCAPAT-DI-SASXP-01,CU-0307-T01
CUS-OCONGATE-DI-SASXP-01,CU-0308-T01
CUS-QUIQUIJA-DI-SASXP-01,CU-0324-T01
CUS-HUAYLLAB-DI-SASXP-01,CU-0332-T01
CUS-MARAS-DI-SASXP-01,CU-0335-T01
CUS-TCORE-SW-SRa4-01,CU-0372-T01
CUS-TCORE-SW-SRa4-02,CU-0372-T01
CUS-POROY-DI-SASXP-01,CU-0373-T01
CUS-CRUZVERD-CN-SASXP-01,CU-0374-T01
CUS-SANJERON-DI-SASXP-01,CU-0375-T01
CUS-SANSEBAS-DI-SASXP-01,CU-0376-T01
CUS-SANTIAGO-DI-SASXP-01,CU-0377-T01
CUS-SAYLLA-DI-SASXP-01,CU-0378-T01
CUS-WANCHAQ-DI-SASXP-01,CU-0379-T01
CUS-ACOMAYO-AG-SAS6-01,CU-0380-T01
CUS-ANTA-AG-SAS6-01,CU-0381-T01
CUS-CACHIMAY-DI-SASXP-01,CU-0382-T01
CUS-PUCYURA-DI-SASXP-01,CU-0383-T01
CUS-ZURITE-DI-SASXP-01,CU-0384-T01
CUS-CALCA-AG-SAS6-01,CU-0385-T01
CUS-LAMAY-DI-SASXP-01,CU-0386-T01
CUS-PISAC-DI-SASXP-01,CU-0387-T01
CUS-YANAOCA-AG-SAS6-01,CU-0388-T01
CUS-PAMPAMAR-DI-SASXP-01,CU-0389-T01
CUS-SICUANI-AG-SAS6-01,CU-0390-T01
CUS-MARANGAN-DI-SASXP-01,CU-0391-T01
CUS-SANPABLO-DI-SASXP-01,CU-0392-T01
CUS-SANPEDRO-DI-SASXP-01,CU-0393-T01
CUS-TINTA-DI-SASXP-01,CU-0394-T01
CUS-SANTOTOM-AG-SAS6-01,CU-0395-T01
CUS-YAURIESP-AG-SAS6-01,CU-0396-T01
CUS-COPORAQU-DI-SASXP-01,CU-0397-T01
CUS-QUILLABA-AG-SAS6-01,CU-0398-T01
CUS-PARURO-AG-SAS6-01,CU-0399-T01
CUS-PAUCARTA-AG-SAS6-01,CU-0400-T01
CUS-CAICAY-DI-SASXP-01,CU-0401-T01
CUS-URCOS-AG-SAS6-01,CU-0402-T01
CUS-ANDAHUAY-DI-SASXP-01,CU-0403-T01
CUS-CUSIPATA-DI-SASXP-01,CU-0404-T01
CUS-OROPESA-DI-SASXP-01,CU-0405-T01
CUS-URUBAMBA-AG-SAS6-01,CU-0406-T01
CUS-CHINCHER-DI-SASXP-01,CU-0407-T01
CUS-OLLANTAY-DI-SASXP-01,CU-0409-T01
CUS-YUCAY-DI-SASXP-01,CU-0410-T01
CUS-VILLAKIN-DI-SASXP-01,CU-0471-T01
