NSG,Termino de la distancia en horas
MQ_A_3008,0.9
MQ_A_3009,9.0
MQ_A_3010,4.5
MQ_A_3011,7.7
MQ_A_3012,8.3
MQ_A_3013,3.4
MQ_A_3013,3.4
MQ_A_3013,3.4
MQ_A_3014,2.2
MQ_A_3015,6.8
MQ_A_3015,6.8
MQ_A_3016,8.3
MQ_A_3036,0.8
MQ_A_3036,0.8
MQ_A_3037,1.0
MQ_A_3038,0.8
MQ_A_3038,0.8
MQ_A_3040,8.1
MQ_A_3040,8.1
MQ_A_3042,1.6
MQ_A_3043,8.9
MQ_A_3044,4.7
MQ_A_3045,4.1
MQ_A_3047,4.2
MQ_A_3048,3.7
MQ_A_3049,3.5
MQ_A_3051,4.3
MQ_A_3052,7.6
MQ_A_3053,9.0
MQ_A_3054,8.0
MQ_A_3055,8.5
MQ_A_3057,6.4
MQ_A_3058,8.4
MQ_A_3059,7.1
MQ_A_3060,7.6
MQ_A_3065,1.3
MQ_A_3065,1.3
MQ_A_3068,3.9
MQ_A_3068,3.9
MQ_A_3070,3.7
MQ_A_3058,7.3
MQ_A_3075,8.5
MQ_A_3076,7.9
MQ_A_3077,8.1
MQ_A_3002,5.6
MQ_A_3003,4.0
MQ_A_3003,4.0
MQ_A_3003,4.0
MQ_A_3005,5.3
MQ_A_3005,5.3
MQ_A_3005,5.3
MQ_A_3006,1.4
MQ_A_3023,0.4
MQ_A_3022,1.1
MQ_A_3024,1.4
MQ_A_3025,5.0
MQ_A_3026,4.0
MQ_A_3026,4.0
MQ_A_3029,6.5
MQ_A_3030,5.2
MQ_A_3030,5.2
MQ_A_3032,4.8
MQ_A_3033,1.7
MQ_A_3062,0.7
MQ_A_3063,2.0
MQ_A_3073,1.6
MQ_A_3078,5.6
MQ_A_3017,0.3
TA_A_4001,2.5
TA_A_4002,1.6
TA_A_4003,4.3
TA_A_4004,1.6
TA_A_4019,0.7
TA_A_4021,1.4
TA_A_4021,1.4
TA_A_4021,1.4
TA_A_4026,1.8
TA_A_4026,1.8
TA_A_4029,2.8
TA_A_4030,2.3
TA_A_4031,1.9
TA_A_4032,1.6
TA_A_4033,2.2
TA_A_4034,1.3
TA_A_4034,1.3
TA_A_4035,1.3
TA_A_4037,1.4
TA_A_4039,1.6
TA_A_4062,1.7
TA_A_4063,2.0
TA_A_4064,2.4
TA_A_4064,2.4
TA_A_4065,7.8
TA_A_4067,1.7
TA_A_4068,1.4
TA_A_4007,2.0
TA_A_4008,0.3
TA_A_4009,7.4
TA_A_4009,7.4
TA_A_4010,3.0
TA_A_4011,3.6
TA_A_4013,1.5
TA_A_4014,4.6
TA_A_4018,3.6
TA_A_4042,3.5
TA_A_4043,3.4
TA_A_4044,11.3
TA_A_4046,7.3
TA_A_4046,7.3
TA_A_4050,6.2
TA_A_4056,1.2
TA_A_4057,4.6
TA_A_4069,2.1
TA_A_4006,3.3
TA_A_4017,1.9
TA_A_4047,1.7
TA_A_4048,2.1
TA_A_4049,2.0
TA_A_4050,4.0
TA_A_4052,1.6
TA_A_4053,0.3
TA_A_4054,0.2
